City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Ponta Do Sol,PT,32.6667,-17.1,73.0,65,26,3.6,scattered clouds
290,Singaraja,ID,-8.112,115.0882,79.97,79,88,5.5,overcast clouds
291,Ordubad,AZ,38.9059,46.0234,55.49,55,64,3.36,broken clouds
292,Blackwater,AU,-23.5833,148.8833,75.85,74,98,5.61,overcast clouds
293,Yaan,NG,7.3833,8.5667,74.01,87,91,4.27,overcast clouds
294,Mount Isa,AU,-20.7333,139.5,71.37,73,74,0.0,light rain
295,Vengerovo,RU,55.6848,76.7471,49.41,70,100,17.4,overcast clouds
296,Chalinze,TZ,-6.6378,38.354,74.26,74,29,6.08,scattered clouds
297,Ginir,ET,7.1333,40.7,59.11,41,12,5.64,few clouds
298,Sayyan,YE,15.1718,44.3244,58.8,26,56,7.58,broken clouds
299,Jinhua,CN,29.1078,119.6547,54.9,98,100,2.33,light rain
300,Kikwit,CD,-5.041,18.8162,71.98,95,77,1.61,light rain
301,Sunland Park,US,31.7965,-106.58,79.36,22,1,1.01,clear sky
302,Hofn,IS,64.2539,-15.2082,44.98,92,100,8.97,overcast clouds
303,Gari,RU,59.4307,62.3497,39.9,73,69,13.49,broken clouds
304,Hovd,MN,48.0056,91.6419,36.28,56,74,6.62,broken clouds
305,Vavozh,RU,56.7751,51.931,40.1,82,42,8.01,scattered clouds
306,Baykit,RU,61.67,96.37,32.94,92,99,9.44,light snow
307,Esperance,AU,-33.8667,121.9,51.64,68,9,17.87,clear sky
308,Alofi,NU,-19.0595,-169.9187,66.09,82,33,6.91,scattered clouds
309,Qaqortoq,GL,60.7167,-46.0333,37.9,75,61,6.87,broken clouds
310,Rio Gallegos,AR,-51.6226,-69.2181,53.65,26,75,44.87,broken clouds
311,Prien,US,30.1819,-93.2738,84.18,69,40,4.0,scattered clouds
312,Vila Velha,BR,-20.3297,-40.2925,78.75,73,40,14.97,scattered clouds
313,Wattegama,LK,6.7989,81.4808,74.53,88,30,2.46,scattered clouds
314,Tuatapere,NZ,-46.1333,167.6833,50.85,97,100,0.96,overcast clouds
315,Selfoss,IS,63.9331,-20.9971,47.28,91,100,5.35,overcast clouds
316,Batticaloa,LK,7.7102,81.6924,79.83,79,56,5.12,broken clouds
317,Puerto Escondido,MX,15.85,-97.0667,76.03,73,90,6.91,overcast clouds
318,Lasa,IT,46.6166,10.7002,47.28,61,4,1.23,clear sky
319,Lamar,US,33.6668,-95.5836,82.36,78,75,13.8,broken clouds
320,Pochutla,MX,15.7432,-96.4661,76.82,76,98,2.15,overcast clouds
321,Bar Harbor,US,44.3876,-68.2039,53.02,73,90,4.0,overcast clouds
322,Marienburg,PL,54.0359,19.0266,43.88,82,39,7.65,scattered clouds
323,Mayumba,GA,-3.432,10.6554,77.31,85,72,4.43,broken clouds
324,Lyuban,BY,52.7985,28.0048,43.45,69,81,13.89,broken clouds
325,Maniitsoq,GL,65.4167,-52.9,26.35,50,72,7.36,broken clouds
326,Fomboni,KM,-12.28,43.7425,79.41,72,1,7.45,clear sky
327,Asau,RO,46.4333,26.4,49.95,61,14,4.23,light rain
